From_Category,To_Category,Ratio_of_human_to_shortest
C0001,C0083,1.956777996070727
C0001,C0084,1.5694656488549619
C0001,C0085,1.6743772241992882
C0001,C0086,1.649390243902439
C0001,C0087,1.8153710247349824
C0001,C0088,1.4805194805194806
C0001,C0089,1.7534364261168385
C0001,C0090,1.7922606924643585
C0001,C0091,2.036619718309859
C0001,C0092,1.6829268292682926
C0001,C0093,1.6963562753036436
C0001,C0094,1.792
C0001,C0095,1.7852112676056338
C0001,C0096,1.7019230769230769
C0001,C0097,1.5899122807017543
C0001,C0098,1.563343717549325
C0001,C0099,1.784841075794621
C0001,C0100,1.847972972972973
C0001,C0101,1.614730878186969
C0001,C0102,2.059531348955035
C0001,C0103,1.674982674982675
C0001,C0104,1.6191677175283732
C0001,C0105,1.5287574606619643
C0001,C0106,1.6979865771812082
C0001,C0107,1.5806671204901293
C0001,C0108,1.5160965794768613
C0001,C0109,1.5383005441607367
C0001,C0110,1.7766258246936852
C0001,C0111,1.713953488372093
C0001,C0112,1.9515418502202644
C0001,C0113,2.003807106598985
C0001,C0114,1.5961538461538463
C0001,C0115,1.6876019575856445
C0001,C0116,1.6114081996434937
C0001,C0117,1.8756866734486266
C0001,C0118,1.7385862316610239
C0001,C0119,1.7302452316076293
C0001,C0120,1.6015901060070672
C0001,C0121,1.8609418282548476
C0001,C0122,1.5655827548410668
C0001,C0123,1.6350515463917525
C0001,C0124,1.6279508970727101
C0001,C0125,1.919308357348703
C0001,C0126,1.9902469391990039
C0001,C0127,1.8646153846153846
C0001,C0128,1.6210045662100456
C0001,C0129,1.7095435684647302
C0001,C0130,1.77389811104751
C0001,C0131,1.695364238410596
C0001,C0132,1.7648960739030024
C0001,C0133,1.9440081939228406
C0001,C0134,1.8330383480825958
C0001,C0135,1.9228981833544572
C0001,C0136,1.8245989304812835
C0001,C0137,2.00080988054262
C0001,C0138,1.784584980237154
C0001,C0139,1.7076899320568253
C0001,C0140,1.8373983739837398
C0001,C0141,1.73
C0001,C0142,1.7830474268415741
C0001,C0143,1.7486732373009857
C0001,C0144,1.7249368155012637
C0001,C0145,1.7351190476190477
C0001,C0146,1.6804979253112033
C0002,C0001,1.9905247813411078
C0002,C0002,1.6666666666666667
C0002,C0003,2.3870967741935485
C0002,C0004,1.5818181818181818
C0002,C0005,1.7115384615384615
C0002,C0006,2.888888888888889
C0002,C0007,2.665137614678899
C0002,C0008,1.673003802281369
C0002,C0009,1.4754098360655739
C0002,C0010,1.7272727272727273
C0002,C0011,2.588235294117647
C0002,C0013,1.4782608695652173
C0002,C0014,1.7724137931034483
C0002,C0015,1.6153846153846154
C0002,C0016,2.135549872122762
C0002,C0017,1.6666666666666667
C0002,C0020,2.4814814814814814
C0002,C0021,1.75
C0002,C0027,2.0
C0002,C0029,1.5862068965517242
C0002,C0031,1.5217391304347827
C0002,C0034,1.8
C0002,C0035,4.25
C0002,C0037,4.333333333333333
C0002,C0038,2.033333333333333
C0002,C0039,2.5833333333333335
C0002,C0040,1.6666666666666667
C0002,C0042,2.9609375
C0002,C0044,2.6666666666666665
C0002,C0045,1.125
C0002,C0047,1.0
C0002,C0048,1.5
C0002,C0049,1.3714285714285714
C0002,C0051,1.8857142857142857
C0002,C0052,1.0
C0002,C0053,1.5
C0002,C0054,2.1904761904761907
C0002,C0055,1.8214285714285714
C0002,C0056,1.4444444444444444
C0002,C0057,2.0
C0002,C0058,1.7692307692307692
C0002,C0059,1.5384615384615385
C0002,C0061,1.9615384615384615
C0002,C0062,1.4285714285714286
C0002,C0063,1.5
C0002,C0065,1.5454545454545454
C0002,C0067,1.2
C0002,C0068,1.625
C0002,C0070,1.3571428571428572
C0002,C0072,1.4
C0002,C0073,1.75
C0002,C0074,1.5
C0002,C0075,1.0
C0002,C0076,1.25
C0002,C0078,1.9565217391304348
C0002,C0079,1.3333333333333333
C0002,C0081,1.5
C0002,C0083,3.1666666666666665
C0002,C0084,1.0
C0002,C0085,3.1666666666666665
C0002,C0087,1.4146341463414633
C0002,C0089,2.0
C0002,C0091,3.25
C0002,C0092,1.0
C0002,C0093,2.111111111111111
C0002,C0094,3.2
C0002,C0096,1.0
C0002,C0098,1.875
C0002,C0103,1.3333333333333333
C0002,C0104,3.0
C0002,C0105,1.54
C0002,C0107,2.0
C0002,C0108,1.5
C0002,C0109,1.5
C0002,C0110,1.588235294117647
C0002,C0111,1.3333333333333333
C0002,C0113,1.3333333333333333
C0002,C0114,1.7307692307692308
C0002,C0115,1.5
C0002,C0117,2.3547008547008548
C0002,C0118,1.56
C0002,C0119,2.0365853658536586
C0002,C0120,1.0
C0002,C0121,1.7777777777777777
C0002,C0122,1.4615384615384615
C0002,C0123,1.8421052631578947
C0002,C0124,2.25
C0002,C0127,1.3333333333333333
C0002,C0128,1.0
C0002,C0129,1.75
C0002,C0130,3.1538461538461537
C0002,C0131,1.5
C0002,C0132,1.7272727272727273
C0002,C0133,1.84
C0002,C0134,1.6216216216216217
C0002,C0135,1.8857142857142857
C0002,C0136,1.8333333333333333
C0002,C0137,3.0
C0002,C0138,1.4545454545454546
C0002,C0139,1.5517241379310345
C0002,C0140,2.0
C0002,C0141,1.75
C0002,C0143,1.7777777777777777
C0002,C0144,1.696969696969697
C0002,C0145,2.0
C0002,C0146,2.6818181818181817
C0003,C0001,1.757710760795065
C0003,C0002,1.4285714285714286
C0003,C0003,1.6923076923076923
C0003,C0004,1.8775510204081634
C0003,C0005,1.751219512195122
C0003,C0006,1.7307692307692308
C0003,C0007,1.7415730337078652
C0003,C0008,1.7327327327327327
C0003,C0009,1.8451882845188285
C0003,C0010,1.8333333333333333
C0003,C0011,1.4181818181818182
C0003,C0012,1.7857142857142858
C0003,C0013,1.5853658536585367
C0003,C0014,1.8562874251497006
C0003,C0015,1.8135593220338984
C0003,C0016,1.7533632286995515
C0003,C0017,1.4285714285714286
C0003,C0019,1.2857142857142858
C0003,C0020,1.8125
C0003,C0021,1.0
C0003,C0022,1.0
C0003,C0023,1.6666666666666667
C0003,C0024,2.5
C0003,C0026,1.2
C0003,C0027,1.0
C0003,C0028,2.217391304347826
C0003,C0029,1.9090909090909092
C0003,C0030,2.5
C0003,C0031,1.6363636363636365
C0003,C0032,2.6666666666666665
C0003,C0033,1.5
C0003,C0034,1.5588235294117647
C0003,C0035,1.3333333333333333
C0003,C0036,1.0
C0003,C0037,2.0
C0003,C0038,1.4285714285714286
C0003,C0039,2.227272727272727
C0003,C0040,1.4
C0003,C0041,1.7608695652173914
C0003,C0042,1.8703703703703705
C0003,C0044,1.0
C0003,C0045,1.75
C0003,C0046,1.5384615384615385
C0003,C0047,1.2
C0003,C0049,1.7524752475247525
C0003,C0050,2.0625
C0003,C0051,1.5714285714285714
C0003,C0052,2.0232558139534884
C0003,C0053,1.6385542168674698
C0003,C0054,1.7903225806451613
C0003,C0055,1.4651162790697674
C0003,C0056,1.475
C0003,C0057,1.3529411764705883
C0003,C0058,1.9130434782608696
C0003,C0059,2.107142857142857
C0003,C0060,1.5
C0003,C0061,2.3076923076923075
C0003,C0062,1.7195121951219512
C0003,C0063,1.3333333333333333
C0003,C0064,1.25
C0003,C0065,1.5416666666666667
C0003,C0067,1.6603773584905661
C0003,C0068,2.017857142857143
C0003,C0070,2.0285714285714285
C0003,C0071,1.3
C0003,C0072,1.9090909090909092
C0003,C0073,1.3333333333333333
C0003,C0074,2.2142857142857144
C0003,C0075,1.5
C0003,C0076,1.0
C0003,C0078,1.9444444444444444
C0003,C0079,1.6
C0003,C0081,1.28
C0003,C0082,2.125
C0003,C0083,1.6666666666666667
C0003,C0084,1.1428571428571428
C0003,C0085,1.3333333333333333
C0003,C0086,1.3333333333333333
C0003,C0087,1.7857142857142858
C0003,C0088,1.1
C0003,C0090,1.3333333333333333
C0003,C0091,4.117647058823529
C0003,C0093,1.25
C0003,C0094,1.6666666666666667
C0003,C0095,3.75
C0003,C0096,1.2666666666666666
C0003,C0097,1.5
C0003,C0098,1.5945945945945945
C0003,C0099,2.176470588235294
C0003,C0100,2.25
C0003,C0101,1.3333333333333333
C0003,C0102,2.2
C0003,C0103,2.5172413793103448
C0003,C0104,1.4705882352941178
C0003,C0105,1.4426229508196722
C0003,C0107,1.5185185185185186
C0003,C0108,1.1666666666666667
C0003,C0109,1.25
C0003,C0110,1.9696969696969697
C0003,C0111,1.3333333333333333
C0003,C0112,2.5
C0003,C0113,2.6842105263157894
C0003,C0114,1.6666666666666667
C0003,C0115,1.375
C0003,C0116,1.2777777777777777
C0003,C0117,1.760752688172043
C0003,C0118,1.68944099378882
C0003,C0119,1.8088235294117647
C0003,C0120,1.6666666666666667
C0003,C0121,1.5689655172413792
C0003,C0122,1.6808510638297873
C0003,C0123,1.5833333333333333
C0003,C0124,2.357142857142857
C0003,C0125,1.0
C0003,C0126,1.962962962962963
C0003,C0127,1.4444444444444444
C0003,C0128,1.5
C0003,C0129,1.681159420289855
C0003,C0130,1.4375
C0003,C0131,1.3333333333333333
C0003,C0132,1.7346938775510203
C0003,C0133,1.875
C0003,C0134,1.6666666666666667
C0003,C0135,2.036144578313253
C0003,C0136,2.230769230769231
C0003,C0137,1.4615384615384615
C0003,C0138,1.829268292682927
C0003,C0139,1.6145833333333333
C0003,C0140,1.8571428571428572
C0003,C0141,1.0
C0003,C0143,1.8064516129032258
C0003,C0144,1.8653846153846154
C0003,C0145,1.794871794871795
C0003,C0146,1.6428571428571428
C0004,C0001,1.751610782380013
C0004,C0002,1.76
C0004,C0003,1.6583333333333334
C0004,C0004,1.7317880794701987
C0004,C0005,1.6299810246679316
C0004,C0006,2.010600706713781
C0004,C0007,1.8827586206896552
C0004,C0008,1.651006711409396
C0004,C0009,1.9738317757009345
C0004,C0010,1.6214689265536724
C0004,C0011,1.6075949367088607
C0004,C0012,1.452054794520548
C0004,C0013,1.7586206896551724
C0004,C0014,1.6527777777777777
C0004,C0015,1.623456790123457
C0004,C0016,1.8021472392638036
C0004,C0017,1.76
C0004,C0019,1.8085106382978724
C0004,C0020,1.3157894736842106
C0004,C0021,1.2222222222222223
C0004,C0022,1.8611111111111112
C0004,C0023,1.4
C0004,C0024,1.6153846153846154
C0004,C0025,2.272727272727273
C0004,C0026,1.52
C0004,C0027,1.3846153846153846
C0004,C0028,1.711111111111111
C0004,C0029,1.4210526315789473
C0004,C0030,1.6923076923076923
C0004,C0031,1.8366013071895424
C0004,C0032,2.0833333333333335
C0004,C0033,1.7058823529411764
C0004,C0034,2.2094594594594597
C0004,C0035,1.5277777777777777
C0004,C0037,1.1666666666666667
C0004,C0038,1.804054054054054
C0004,C0039,2.276315789473684
C0004,C0040,2.032608695652174
C0004,C0041,1.4330708661417322
C0004,C0042,2.047244094488189
C0004,C0043,2.5
C0004,C0044,1.9090909090909092
C0004,C0045,1.608695652173913
C0004,C0046,1.6129032258064515
C0004,C0047,1.8076923076923077
C0004,C0048,1.8918918918918919
C0004,C0049,1.7397260273972603
C0004,C0050,1.0
C0004,C0051,1.8356164383561644
C0004,C0052,1.8439716312056738
C0004,C0053,1.5535714285714286
C0004,C0054,1.4672897196261683
C0004,C0055,1.555045871559633
C0004,C0056,1.512396694214876
C0004,C0057,1.5571428571428572
C0004,C0058,1.819672131147541
C0004,C0059,1.9626168224299065
C0004,C0060,1.5
C0004,C0061,1.7307692307692308
C0004,C0062,1.4580152671755726
C0004,C0063,1.5806451612903225
C0004,C0064,1.5416666666666667
C0004,C0065,1.9396551724137931
C0004,C0066,1.0
C0004,C0067,1.9351351351351351
C0004,C0068,3.5660377358490565
C0004,C0069,2.0
C0004,C0070,1.5789473684210527
C0004,C0071,1.2666666666666666
C0004,C0072,1.8333333333333333
C0004,C0073,1.603448275862069
C0004,C0074,1.488888888888889
C0004,C0075,1.4666666666666666
C0004,C0076,1.8918918918918919
C0004,C0078,1.4433962264150944
C0004,C0079,2.210526315789474
C0004,C0080,1.0
C0004,C0081,1.7619047619047619
C0004,C0082,1.5
C0004,C0083,1.0
C0004,C0084,1.5
C0004,C0085,1.5357142857142858
C0004,C0086,1.5555555555555556
C0004,C0087,2.142857142857143
C0004,C0088,1.3
C0004,C0089,1.9166666666666667
C0004,C0090,1.3
C0004,C0091,3.2222222222222223
C0004,C0092,1.5405405405405406
C0004,C0093,2.1379310344827585
C0004,C0094,1.875
C0004,C0095,1.7777777777777777
C0004,C0096,1.4878048780487805
C0004,C0097,1.6666666666666667
C0004,C0098,1.4137931034482758
C0004,C0099,1.9696969696969697
C0004,C0100,2.0
C0004,C0101,1.7826086956521738
C0004,C0102,2.185567010309278
C0004,C0103,1.3333333333333333
C0004,C0104,1.4375
C0004,C0105,1.4642857142857142
C0004,C0106,1.6666666666666667
C0004,C0107,1.7142857142857142
C0004,C0108,1.5
C0004,C0109,1.3571428571428572
C0004,C0110,1.3333333333333333
C0004,C0111,1.4411764705882353
C0004,C0112,2.3
C0004,C0113,1.5813953488372092
C0004,C0114,1.4444444444444444
C0004,C0115,1.8421052631578947
C0004,C0116,1.4
C0004,C0117,1.7741046831955922
C0004,C0118,1.8858695652173914
C0004,C0119,1.8016032064128256
C0004,C0120,1.6046511627906976
C0004,C0121,1.9642857142857142
C0004,C0122,1.537037037037037
C0004,C0123,1.4962962962962962
C0004,C0124,1.744186046511628
C0004,C0125,2.8181818181818183
C0004,C0126,1.8533333333333333
C0004,C0127,1.6666666666666667
C0004,C0128,1.8518518518518519
C0004,C0129,1.7458563535911602
C0004,C0130,1.7130434782608697
C0004,C0131,2.2
C0004,C0132,1.8342245989304813
C0004,C0133,1.8308457711442787
C0004,C0134,1.871559633027523
C0004,C0135,1.4859154929577465
C0004,C0136,1.8
C0004,C0137,1.8951612903225807
C0004,C0138,2.227272727272727
C0004,C0139,1.7435897435897436
C0004,C0140,2.41025641025641
C0004,C0141,2.1666666666666665
C0004,C0142,1.631578947368421
C0004,C0143,1.9361702127659575
C0004,C0144,1.7771084337349397
C0004,C0145,1.4772727272727273
C0004,C0146,1.7560975609756098
C0005,C0001,1.825273192280865
C0005,C0002,1.6944444444444444
C0005,C0003,1.8766233766233766
C0005,C0004,1.7624113475177305
C0005,C0005,1.730188679245283
C0005,C0006,1.815126050420168
C0005,C0007,1.9233716475095786
C0005,C0008,1.6643073811931244
C0005,C0009,1.7200520833333333
C0005,C0010,1.7414965986394557
C0005,C0011,3.2186234817813766
C0005,C0012,1.6849315068493151
C0005,C0013,2.0517241379310347
C0005,C0014,1.7097142857142857
C0005,C0015,1.9576719576719577
C0005,C0016,1.876118699952897
C0005,C0017,1.6944444444444444
C0005,C0019,2.173076923076923
C0005,C0020,1.7291666666666667
C0005,C0021,1.3478260869565217
C0005,C0022,2.0
C0005,C0023,1.3636363636363635
C0005,C0024,1.0
C0005,C0025,1.5
C0005,C0026,1.75
C0005,C0027,2.375
C0005,C0028,1.673913043478261
C0005,C0029,2.033333333333333
C0005,C0030,1.875
C0005,C0031,1.7435897435897436
C0005,C0032,1.489795918367347
C0005,C0033,1.694915254237288
C0005,C0034,2.238095238095238
C0005,C0035,1.5294117647058822
C0005,C0036,1.5833333333333333
C0005,C0037,2.576923076923077
C0005,C0038,1.5238095238095237
C0005,C0039,1.85
C0005,C0040,2.1515151515151514
C0005,C0041,1.7702702702702702
C0005,C0042,1.9586776859504131
C0005,C0043,4.1875
C0005,C0044,3.0526315789473686
C0005,C0045,1.6233766233766234
C0005,C0046,1.6226415094339623
C0005,C0047,1.1904761904761905
C0005,C0048,2.5
C0005,C0049,1.6565217391304348
C0005,C0050,1.7647058823529411
C0005,C0051,1.8333333333333333
C0005,C0052,1.7830188679245282
C0005,C0053,1.654320987654321
C0005,C0054,1.5668789808917198
C0005,C0055,1.541501976284585
C0005,C0056,1.6158536585365855
C0005,C0057,1.5263157894736843
C0005,C0058,1.7625
C0005,C0059,1.819277108433735
C0005,C0060,2.0
C0005,C0061,1.6666666666666667
C0005,C0062,1.6
C0005,C0063,1.4516129032258065
C0005,C0064,1.9285714285714286
C0005,C0065,1.844311377245509
C0005,C0066,1.6666666666666667
C0005,C0067,1.9618644067796611
C0005,C0068,1.6507936507936507
C0005,C0069,1.7272727272727273
C0005,C0070,1.41
C0005,C0071,1.6666666666666667
C0005,C0072,1.5
C0005,C0073,1.56
C0005,C0074,1.18
C0005,C0075,1.5833333333333333
C0005,C0076,2.6315789473684212
C0005,C0077,1.4
C0005,C0078,1.46875
C0005,C0079,1.8297872340425532
C0005,C0080,2.3333333333333335
C0005,C0081,6.116279069767442
C0005,C0082,1.5625
C0005,C0083,2.0
C0005,C0084,1.2857142857142858
C0005,C0085,1.5161290322580645
C0005,C0086,1.84
C0005,C0087,1.9024390243902438
C0005,C0088,1.5714285714285714
C0005,C0089,2.1882352941176473
C0005,C0090,2.0
C0005,C0091,2.2777777777777777
C0005,C0092,1.6896551724137931
C0005,C0093,1.2857142857142858
C0005,C0094,1.1428571428571428
C0005,C0095,2.5
C0005,C0096,1.4782608695652173
C0005,C0097,1.5
C0005,C0098,1.5543478260869565
C0005,C0099,1.5
C0005,C0100,1.875
C0005,C0101,2.0
C0005,C0102,2.30188679245283
C0005,C0103,1.6911764705882353
C0005,C0104,1.5517241379310345
C0005,C0105,1.5443037974683544
C0005,C0106,2.0
C0005,C0107,1.6071428571428572
C0005,C0108,1.4375
C0005,C0109,1.4967320261437909
C0005,C0110,2.75
C0005,C0111,1.6176470588235294
C0005,C0112,2.1
C0005,C0113,2.425
C0005,C0114,1.5625
C0005,C0115,2.1666666666666665
C0005,C0116,1.5161290322580645
C0005,C0117,1.98
C0005,C0118,1.8742857142857143
C0005,C0119,1.7040133779264215
C0005,C0120,1.7901234567901234
C0005,C0121,1.9814814814814814
C0005,C0122,1.6581196581196582
C0005,C0123,1.5900621118012421
C0005,C0124,1.7872340425531914
C0005,C0125,1.8653846153846154
C0005,C0126,2.1363636363636362
C0005,C0127,1.6666666666666667
C0005,C0128,1.625
C0005,C0129,1.88135593220339
C0005,C0130,1.8557692307692308
C0005,C0131,2.111111111111111
C0005,C0132,1.9
C0005,C0133,2.237704918032787
C0005,C0134,2.029850746268657
C0005,C0135,1.991150442477876
C0005,C0136,2.0
C0005,C0137,1.9024390243902438
C0005,C0138,2.208791208791209
C0005,C0139,1.8357348703170029
C0005,C0140,1.7536231884057971
C0005,C0141,1.3888888888888888
C0005,C0142,1.53125
C0005,C0143,1.6967213114754098
C0005,C0144,1.7483660130718954
C0005,C0145,1.6956521739130435
C0005,C0146,1.6304347826086956
C0006,C0001,1.8098313598851812
C0006,C0002,2.1325301204819276
C0006,C0003,1.9080459770114941
C0006,C0004,1.6443661971830985
C0006,C0005,1.5594202898550724
C0006,C0006,1.737991266375546
C0006,C0007,2.0182333873581846
C0006,C0008,1.5726552179656539
C0006,C0009,1.6826758147512864
C0006,C0010,1.7172236503856042
C0006,C0011,1.8317307692307692
C0006,C0012,1.4823529411764707
C0006,C0013,1.6835443037974684
C0006,C0014,1.591093117408907
C0006,C0015,1.7587939698492463
C0006,C0016,1.8852980132450332
C0006,C0017,2.1325301204819276
C0006,C0019,1.7941176470588236
C0006,C0020,2.2777777777777777
C0006,C0021,1.3636363636363635
C0006,C0022,2.0416666666666665
C0006,C0023,2.2903225806451615
C0006,C0024,1.2857142857142858
C0006,C0025,1.5
C0006,C0026,1.4838709677419355
C0006,C0027,1.25
C0006,C0028,1.9230769230769231
C0006,C0029,1.6071428571428572
C0006,C0030,1.5
C0006,C0031,1.548148148148148
C0006,C0032,1.3478260869565217
C0006,C0033,1.8142857142857143
C0006,C0034,1.7064220183486238
C0006,C0035,1.6111111111111112
C0006,C0036,2.7777777777777777
C0006,C0037,2.0
C0006,C0038,2.2291666666666665
C0006,C0039,1.911764705882353
C0006,C0040,2.073529411764706
C0006,C0041,1.5
C0006,C0042,2.0467557251908395
C0006,C0043,1.8333333333333333
C0006,C0044,1.3333333333333333
C0006,C0045,1.511111111111111
C0006,C0046,1.2941176470588236
C0006,C0047,2.066666666666667
C0006,C0048,2.44
C0006,C0049,1.4659685863874345
C0006,C0050,1.6
C0006,C0051,1.7063492063492063
C0006,C0052,1.7176470588235293
C0006,C0053,1.5583941605839415
C0006,C0054,1.4369747899159664
C0006,C0055,1.4303797468354431
C0006,C0056,1.5543478260869565
C0006,C0057,1.8024691358024691
C0006,C0058,1.7735849056603774
C0006,C0059,1.7333333333333334
C0006,C0060,1.76
C0006,C0061,1.4
C0006,C0062,1.4161490683229814
C0006,C0063,2.6
C0006,C0064,1.631578947368421
C0006,C0065,1.6082474226804124
C0006,C0066,1.5833333333333333
C0006,C0067,1.8625
C0006,C0068,1.7874015748031495
C0006,C0069,1.5
C0006,C0070,1.462686567164179
C0006,C0071,1.0
C0006,C0072,1.8636363636363635
C0006,C0073,1.3962264150943395
C0006,C0074,1.565217391304348
C0006,C0075,1.6458333333333333
C0006,C0076,1.7272727272727273
C0006,C0077,1.25
C0006,C0078,1.3426966292134832
C0006,C0079,2.2706766917293235
C0006,C0080,2.0833333333333335
C0006,C0081,1.2222222222222223
C0006,C0082,2.5128205128205128
C0006,C0083,1.9705882352941178
C0006,C0084,1.5454545454545454
C0006,C0085,1.5555555555555556
C0006,C0086,1.6666666666666667
C0006,C0087,1.9454545454545455
C0006,C0088,1.6333333333333333
C0006,C0089,1.6
C0006,C0090,1.4210526315789473
C0006,C0091,1.7586206896551724
C0006,C0092,1.2941176470588236
C0006,C0093,2.7777777777777777
C0006,C0094,1.625
C0006,C0095,1.2666666666666666
C0006,C0096,1.0833333333333333
C0006,C0097,1.28
C0006,C0098,1.4942528735632183
C0006,C0099,2.0
C0006,C0100,2.111111111111111
C0006,C0101,1.25
C0006,C0102,2.230769230769231
C0006,C0103,1.7608695652173914
C0006,C0104,1.4193548387096775
C0006,C0105,1.5128205128205128
C0006,C0106,1.5
C0006,C0107,1.55
C0006,C0108,1.4464285714285714
C0006,C0109,1.3333333333333333
C0006,C0110,1.5185185185185186
C0006,C0111,1.9038461538461537
C0006,C0112,1.8636363636363635
C0006,C0113,1.4285714285714286
C0006,C0114,1.7627118644067796
C0006,C0115,1.673913043478261
C0006,C0116,1.5
C0006,C0117,1.9989173583543847
C0006,C0118,1.5706371191135735
C0006,C0119,1.572317262830482
C0006,C0120,1.3717948717948718
C0006,C0121,1.719298245614035
C0006,C0122,1.540983606557377
C0006,C0123,1.4411764705882353
C0006,C0124,1.8571428571428572
C0006,C0125,2.0
C0006,C0126,2.0869565217391304
C0006,C0127,1.6666666666666667
C0006,C0128,1.1818181818181819
C0006,C0129,1.651006711409396
C0006,C0130,1.6144578313253013
C0006,C0131,1.5
C0006,C0132,1.6962025316455696
C0006,C0133,2.1956521739130435
C0006,C0134,2.1805555555555554
C0006,C0135,1.7391304347826086
C0006,C0136,1.4444444444444444
C0006,C0137,2.049578582052553
C0006,C0138,1.6363636363636365
C0006,C0139,1.5450980392156863
C0006,C0140,1.6037735849056605
C0006,C0141,1.7777777777777777
C0006,C0142,1.4038461538461537
C0006,C0143,1.6020408163265305
C0006,C0144,1.5665399239543727
C0006,C0145,1.625
C0006,C0146,1.598901098901099
C0007,C0001,1.6968562490384123
C0007,C0002,1.6888888888888889
C0007,C0003,1.7228464419475655
C0007,C0004,1.76332899869961
C0007,C0005,1.608
C0007,C0006,1.763300760043431
C0007,C0007,1.769113149847095
C0007,C0008,1.5910791366906474
C0007,C0009,1.711739397664413
C0007,C0010,1.5753768844221105
C0007,C0011,1.7195652173913043
C0007,C0012,1.715736040609137
C0007,C0013,1.844155844155844
C0007,C0014,1.5849440488301119
C0007,C0015,1.699055330634278
C0007,C0016,1.7692307692307692
C0007,C0017,1.6888888888888889
C0007,C0019,1.9666666666666666
C0007,C0020,1.9306930693069306
C0007,C0021,1.3278688524590163
C0007,C0022,1.4666666666666666
C0007,C0023,1.3823529411764706
C0007,C0024,1.5
C0007,C0025,2.111111111111111
C0007,C0026,1.6176470588235294
C0007,C0027,2.1666666666666665
C0007,C0028,2.1020408163265305
C0007,C0029,1.8478260869565217
C0007,C0030,1.682170542635659
C0007,C0031,1.7071240105540897
C0007,C0032,1.7384615384615385
C0007,C0033,1.543859649122807
C0007,C0034,1.8361408882082695
C0007,C0035,1.4727272727272727
C0007,C0036,1.6176470588235294
C0007,C0037,1.5121951219512195
C0007,C0038,1.9594594594594594
C0007,C0039,2.4133333333333336
C0007,C0040,1.8818897637795275
C0007,C0041,1.9408284023668638
C0007,C0042,1.6827896512935883
C0007,C0043,1.6111111111111112
C0007,C0044,2.2686567164179103
C0007,C0045,1.5
C0007,C0046,1.4634146341463414
C0007,C0047,1.5333333333333334
C0007,C0048,1.8095238095238095
C0007,C0049,1.5580865603644647
C0007,C0050,1.3448275862068966
C0007,C0051,1.7663934426229508
C0007,C0052,1.7736625514403292
C0007,C0053,1.5516569200779726
C0007,C0054,1.5478927203065134
C0007,C0055,1.6232876712328768
C0007,C0056,1.493103448275862
C0007,C0057,1.6951219512195121
C0007,C0058,1.5051020408163265
C0007,C0059,1.5775862068965518
C0007,C0060,1.7272727272727273
C0007,C0061,1.7857142857142858
C0007,C0062,1.5508982035928143
